"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"195","Flat-house","The flathouse in Cambridgeshire is a zero-carbon house designed by Practice Architecture that makes extensive use of hemp crete inside and outside, especially on the exposed interior walls.","https://www.dezeen.com/2020/01/09/flat-house-hempcrete-practice-architecture-margent-farm/amp","9, 11","Zero-carbon Flat House, Energy efficiency, Innovative eco-firendly architecture,  using hemp and pre-fabricated building techniques","Infrastructural","Private","Cambridgeshire, UK ","Practice Architecture ","https://acclabplatforms.blob.core.windows.net/pads/media/image246.png"
"196","Underground Thermal Labyrinth","The Australian Plant Bank in New South Wales uses an underground thermal labyrynth to capture and return the heat of the day or the cool of the night, preventing sharp temperature fluctuations and warning or cooling the building by up to 7.5 degrees centigrade. It was designed by BVN Donovan Hill. Air is moved through the labyrinth, cooling down the 3 m high corrugated pre-cast concrete walls to the lowest night-time temperature. During the day, warm ambient air is ventilated into the labyrinth and is cooled as it comes in contact with the chilled walls. This air is then distributed into the Atrium. Warmer air in the Atrium is displaced and evacuated through vents in the ceiling.","https://www.designingbuildings.co.uk/wiki/Thermal_labyrinths","9, 11","Innovating thermal labyrinth, Natural cooling, Energy efficiency, Passive cooling","Innovative","Private","Melbourne, Australia;  New South Wales, Australia","Labyrinth of precast cooling:

https://www.coolairaustralia.com/single-post/2017/09/11/labyrinth-of-precast-cooling-e2-80-93-harvest-the-energy-below-us?lang=en","https://acclabplatforms.blob.core.windows.net/pads/media/image247.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image248.jpeg"
"197","Insulation","Thick insulation made from bio-based, non-polluting materials. Couple this with double or triple glazing and a fat green roof both insulating and brilliant for biodiversity. Maggie's Centre for cancer patients in Leeds, designed by Heatherwick Studio and built with natural materials. Its roof is covered in plant species native to the woodlands of Yorkshire. Aleph Zero and Rose Baum designed the Children's Village School Boarding facility in Northern Brazil with a large canopy foorf formed by cross-laminated timber to shade the building.","https://www.archdaily.com/498519/the-story-of-maggie-s-centres-how-17-architects-came-to-tackle-cancer-care","9, 11, 13","Innovating bio-based material, Energy efficiency, Eco-friendly design","Infrastructural","Private","Yorkshire, UK ","Heatherwick Studio","https://acclabplatforms.blob.core.windows.net/pads/media/image249.png"
"198","Net Zero Energy Building (NZEB)","It produces as much renewable energy at it consumes annually thereby eliminating its dependency on conventional energy systems. These buildings are characterised by reduced energy requirements and use of renewable energy systems to meet the reduced needs.","https://www.infogrid.io/blog/5-net-zero-building-examples-and-how-they-got-there","7, 9, 11, 13","Designing net-zero Energy Building, Optimise efficiency, Using renewable energy resources","Infrastructural","Private","Mumbai, India; Singapore; London Skidmore, UK;  Jarkata, Indonesia; San Diego, USA; Seattle, USA;  Los Angeles, USA; Paris, France","Serie Architects (Mumbai, Singapore; London); Skidmore, Owings & Merrillis (50m) designed by 50M, the Pertamina Energy Tower in Jarkata; Miller Hull-in San Diego, & Seattle by architects David Miller & Robert Hull; Morphosis (Thomas Mayne), Los Angeles; Mikou Design (Paris).","https://acclabplatforms.blob.core.windows.net/pads/media/image250.png"
"199","The Homeostatic Facade System","The New York design Firm Deckrer Yeadon used muscles and homeostasis in biological systems as the inspiration for the double-skin glass facade system for large buildings. The facade resembles a window with a swirling design that opens and closes itself in response to changes in interior room temperature to permit or deny heat gain from the sun.","https://www.anthropocenemagazine.org/conservation/2013/03/homeostatic-building-facade","9, 11, 13","Human Musculo-homeostatic Inspired Cooling Design, Innovating sustainable achitecture, Sustainable cooling technology, Organic architecture","Technological","Private","New York, USA ","Architecturer-Decker Yeadon","https://acclabplatforms.blob.core.windows.net/pads/media/image251.jpeg"
"200","The Bad-Ghir  (“wind catcher”)","Is a system used in the Gulf. The process underlying is thermic ventilation (convention): the structure is a tower with light walls usually square-based and divided in height or more sector, squared or triangular. Irrespective of the location where the tower is situated, the season or the time of the day, two consecutive sectors will be in the shade and this will determine, inside the tower, a double parallel airflow of exhaust hot air and incoming cool one. For example in Pakistan there are thousands of wind catchers, all aligned and oriented towards the same direction, because in that region the wind always blows from the same side. More sophisticated towers were built with pads that people could orient from the building, depending on the wind.","https://www.facebook.com/1492602270956951/posts/badghir-wind-catcher-is-a-sustainable-elementof-iranian-traditional-buildings-in/1538090113074833/","9, 11, 13","Design Innovation, Natural cooling, Energy efficiency, Sustainable solution, Using natural convention","Innovative","Private","The Gulf","","https://acclabplatforms.blob.core.windows.net/pads/media/image252.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image253.png"
"201","Thermal Mass","In building design, thermal mass is a property of the mass of a building that enables it to store heat and provide inertia against temperature fluctuations. It is sometimes known as the thermal flywheel effect. It can be used to even out variations in internal and external conditions, absorbing heat as temperatures rise and releasing it as they fall. An example is a trombe wall placed in front of a south-facing window will absorb solar radiation and then slowly release it into the enclosed space.","https://www.designingbuildings.co.uk/wiki/Thermal_mass_in_buildings","9, 11, 13","Thermal Mass Innovation and Techniques,  Environmental design strategy, Passive cooling, Summer efficiency","Innovative","Private","China; South Africa","","https://acclabplatforms.blob.core.windows.net/pads/media/image254.jpeg"
"202","Mechanical or Forced Ventilation Driven by Fans","This might be cooled below outside air temperature by the use of refrigerants or by thermal mass such as thermal labyrinths, or by night time purging. Mechanical fans drive mechanical ventilation. Fans can either be installed directly in windows or walls, or installed in air ducts for supplying air into, or exhausting air from, a room. The type of mechanical ventilation used depends on climate. In warm and humid climates, infiltration may need to be minimized or prevented to reduce interstitial condensation (which occurs when warm, moist air from inside a building penetrates a wall, roof or floor and meets a cold surface). In these cases, a positive pressure mechanical ventilation system is often used. Conversely, in cold climates, exfiltration needs to be prevented to reduce interstitial condensation, and negative pressure ventilation is used. ","https://www.carneyallseasons.com/blog/air-conditioning/mechanical-or-forced-ventilation-v-natural-ventilation/","9, 11, 13","Engineering Mechanical or forced Ventilation, Effective ventilation, Passive cooling","Innovative","Private","EU; Egypt","","https://acclabplatforms.blob.core.windows.net/pads/media/image255.png"
"203","Chilled Water","Chilled water is typically provided by chiller units using absorption refrigeration or compression refrigeration. It can then be used to provide cool air, in air handling units, to be ducted around the building, chilled beams, chilled ceiling. Chiller units use a refrigerant that boils at a low temperature and pressure, removing heat from chilled water and the condenses to release that heat which is rejected to the outside or recovered.","https://www.designingbuildings.co.United Kingdom/wiki/cooling_systems_for_buildings","9, 11, 13","Technology of Chilled Water, Energy efficiency, Evaporative cooling, Using compressors for cooling, Cooling directly ","Technology","Private","Qatar; UAE; Europe","","https://acclabplatforms.blob.core.windows.net/pads/media/image256.png"
"204","Oasia Hotel Singapore","Designed by noted architecture firm WOHA founded by Wong Mun Summ and Richard Hassell. The hotel is biophilic and ecological. The building sits on a 50-50 meter site, hemmed in by surrounding towers with congested and limited outdoor views. The facility is for offices, hotels and club rooms. The architect stacked the three L-shaped blocks and flipped each of them to opposite corners for different views that overlook a sky terrace. The threee lower verandas are each sheltered by the one above, open at the sides for transparency, cross ventilation and daylight.","http://greenhvacrmag.com/2018/oasia-hotel/","9, 11, 13","Kept Cool in a Sustainable Way, Combating the greenhouse effect in rooms, Absorbing heat, Effective design","Infrastructural","Private","Singapore"," WOHA architecture
The sky terraces of the Oasia hotel are huge overhangs that shade and reduce heat gain promoting fresh air and reducing energy load for the common areas","https://acclabplatforms.blob.core.windows.net/pads/media/image257.jpeg"
"205","Renewable Energy Sources","Renewable energy sources-which are available abundance, provided by the sun, wind, water, waste, and heat from earth are replenished by nature and emit little to no greenhouse gases or pollutants. These renewable energy sources can be used for air-conditioning.","https://www.google.com/url?q=https%3A%2F%2Fwww.un.org%2Fen%2Fclimatechange%2Fraising-ambition%2Frenewable-energy%23%3A~%3Atext%3DRenewable%2520energy%2520sources%2520%25E2%2580%2593%2520which%2520are%2Cor%2520pollutants%2520into%2520the%2520air&sa=D&sntz=1&usg=AOvVaw1LwJHI4WsNadkwg2uBGici","7, 13","Utilising Renewable resources sustainably, Renewable energy, Eco-friendly cooling, Reducing CO2 Emission","Infrastructural","Private","Norway; Uruguay; Brazil; Argentina","","https://acclabplatforms.blob.core.windows.net/pads/media/image258.png"
"206","Climate and Latitude-Specific Design","A detailed understanding of variations in weather patterns and site's location lets designers take advantage of specific phenomena like seasonal winds, sun angles and total insolation.","https://www.teachengineering.org/lessons/view/cub_china_lesson02","9, 11","Innovative Weather Patterns Designs, Bioclimatic design, Passive cooling ","Innovative","Private","China","","https://acclabplatforms.blob.core.windows.net/pads/media/image259.png"
"207","Urban Resilience","One of the most important notions emphasized in urban resiliency theory is the need for urban systems to increase their capacity to absorb environmental disturbances. Tyler and Moench's urban resiliency framework serves as a model that can be implemented for local planning on an international scale","https://www.google.com/url?q=https%3A%2F%2Fresilientcitiesnetwork.org%2Fcity-resilience-framework%2F%23%3A~%3Atext%3DThe%2520City%2520Resilience%2520Framework%2520(CRF%2Ccase%2520studies%252C%2520and%2520from%2520fieldwork&sa=D&sntz=1&usg=AOvVaw3j2HhDtjHtBZTcQMZTPkvY","11","Urban Resilience Framework","Behavioural","Local Government","Bolivia; Serbia; South Africa; New York, USA; Los Angeles, USA; London, UK;  Norway; Sweden; Finland; Denmark","","https://acclabplatforms.blob.core.windows.net/pads/media/image260.png"
"208","C40 Cities","Climate leadership Group is a group of 96 cities around the world that represents one twelth of the world's population and one quarter of the global economy. Created and led by cities, C40 is focused on fighting the climate crisis and driving urban action that reduces greenhouse gas emissions and climate risks, while increasing the health, wellbeing and economic opportunities of urban residents.","https://www.c40.org","11, 13","Global Cities Leadership and Involvement in Climate Issues, Climate action, Reducing CO2 emission","Behavioural","Local Government","London, UK;  Freetown, Sierra Leone;  Barcelona, Spain; Istanbul, Türkiye; Arizona, USA; Dhaka North, India; Tokyo, Japan;  Buenos Aires, Argentina;  Bogota, Columbia;  Abidjan, Ivory Coast;  Montreal, Canada; Milan, Italy; Thailand; Hongkong","","https://acclabplatforms.blob.core.windows.net/pads/media/image261.png"
"209"," Smart Growth Network","The Smart Growth Network developed a set of ten basicSmart Growth Principles such as, mixing land uses e.g residential, commercial and recreational, take advantage of compact building design, create a range of housing opportunities and choices, create walkable neighborhoods, foster distinctive, attractive communities with a strong sense of place, preserve open space, farmland, natural beauty and critical environmental areas, strengthen and direct development towards existing communities, provide a variety of transportation choices, make development decisions predictable, fair and cost effective, encourage community and stakeholder collaboration in developing decisions. Heat Island cooling strategies can incorporate these smart growth principles.","https://www.epa.gov/heatislands/smart-growth-and-heat-islands","9, 13","Smart Cities, Smart Growth, Smart Grids, Heat island cooling strategies","Behavioural","Local Government","Denver, USA;  North Carolina, USA;  Colorado, USA;  Minnesota, USA; Virginia, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image262.png"
"210","Reducing Surface Water Run-Off","Detroit-based Parjana Distribution LLC is partnering with Lawrence Technological University (LTU) on a pilot project that involves testing a new stormwater drainage system for parking lots that is expected to significantly reduce stormwater runoff volumes. The technology, named energy-passive groundwater recharge products (EGRPs), includes 31.75mm-diameter hydrophobic, polyethylene tubes composed of five chambers and open channels along edges. Designed to handle up to an inch of rain (25mm) during a 24- hour period, EGRPs facilitate underground water recharge by balancing soil moisture and promoting movement of water between horizontal soil layers.EGRP can be used to improve drainage to infiltrate standing
water, manage soil moisture to protect underground
infrastructure, or recharge water depleted soils to replenish
wells and rejuvenate rivers.","https://stormwater.wef.org/2016/03/new-drainage-technology-holds-potential-reducing-stormwater-runoff","9, 11, 13","Innovative technology to capture water, New national standard in stormwater design, Energy-passive groundwater recharge","Technology","Local Government","Ohio, USA;  Washington D.C, USA;  California, USA;  Florida, USA","The pilot project is slated for a series of demonstrations in partnership with universities in Ohio, Washington D.C, Carlifonia and Florida

https://www.exlterra.com/wp-content/uploads/2019/02/EGRP-Brochure-v1.4.4-EN.pdf","https://acclabplatforms.blob.core.windows.net/pads/media/image263.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image264.jpeg"
"211","Compendium of strategies","Voluntary efforts including demonstration projects, incentives, urban forestry programs, weatherisation, outreach and education programs and awards. Compendium of Strategies describes the causes and impacts of urban heat islands and promotes strategies for lowering temperatures in U.S. communities. It provides an overview of heat islands, how they form, and their impacts, and describes key urban heat island reduction strategies in depth. It also describes voluntary and policy efforts undertaken by state and local governments to mitigate urban heat islands.","https://www.epa.gov/heatislands/heat-island-compendium","11","Communities Combating Urban heat Island, Heat island awareness, Cooling strategies","Behavioural","Local Government","USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image265.png"
"212","Pumping Cold Water through the Walls","Romans managed to keep their homes cool by pumping cold water from the aqueducts through the walls of elite people's homes to freshen their dwellings during summer months. aqueducts were devised much earlier in Greece, Egypt, the Near East, and the Indian subcontinent, as an irrigation system. However, it was the Romans who were the first to use aqueducts as natural cooling system.","https://www.bibalex.org/SCIplanet/en/Article/Details?id=5213","7, 9, 11","Innovating pump design, architectural tricks for air-conditioning, Natural cooling, Energy efficiency, Roman aqueducts","Innovative","Local Government","Italy","","https://acclabplatforms.blob.core.windows.net/pads/media/image266.png"
"213","Porous Polymer","This new coating could help keep buildings cool. The porous polymer uses tiny air holes to reflect all wavelengths of sunlight cooling buildings for better than white paint.","https://cleantechnica.com/2018/10/02/new-polymer-coating-helps-keep-buildings-cool/","9, 11","Innovating coating material, Coating Helps Keep Buildings Cool, Passive daytime radiative cooling, Reflecting sunlight","Innovative","Local Government","Columbia","Scientists at the Columbia School of Engineering","https://acclabplatforms.blob.core.windows.net/pads/media/image267.png"
"214","Thermal Efficiency-T-shirt","The Thermal Efficient t-shirt reduces the need for air conditioning. Materials Science Company LifeLabs developed a new generation of thermally efficient textiles. Weavers of the US Company Coollife-t-shirts experience a continual reduction of body temperature by three degrees Fahrenheit. The fabric is recycled, engineed polyethylene, a material that is transparent to infrared wavelengths, allowing heat to easily flow away from the wearer.","https://www.springwise.com/innovation-snapshot/six-innovations-to-beat-the-heat","3, 9, 11, 13","Saving energy, Innovative strategy against the heat, Thermally efficient textiles, Reduction of reliance on cooling systems, Recycable","Innovative","Private","USA","LifeLabs","https://acclabplatforms.blob.core.windows.net/pads/media/image268.png"
"215","Ultra White Paint","A team of scientists led by UCLA has demonstrated a white paint that can reflect as much as 98% of incoming heat from the sun. If widely applied to significantly reduce cooling costs. to cool buildings using passive daytime radiative cooling. Ultra White Paint is a process whereby the building’s surface is made reflective, to radiate heat out into space. One method to make surfaces reflective is to paint them white. This is the same principle behind wearing a white T-Shirt on a sunny day.","https://www.springwise.com/innovation-snapshot/six-innovations-to-beat-the-heat","9, 11, 13","Innovating ultra-white paint, Saving energy, Passive daytime radiative cooling, Reflecting sunlight efficiently","Innovative","Private","USA","Researchers at UCLA (University of California)","https://acclabplatforms.blob.core.windows.net/pads/media/image269.png"
"216","Smart Matress Using Al","The smart mattress uses Al to cool the bed. The smart mattress known as 'the Pod', consists of six layers, designed to improve sleep through thermoregulation. The Pod contains flexible and contoured grid into which temperature-regulated water is pumped from a separate water tank. The tank dupped 'the Hub' sits by the side of the bed and cools water using 'thermo-electric cooling elements in conjunction with a Heat Sink and two premium cooling fans like those found in upscale gaming P.Cs. The temperature of the water is adjusted using sensors","https://futurism.com/neoscope/pod-dynamic-heating-cooling-mattress","11","Smart-matress to cool the bed, Reduction of the use of air conditioners, Innovative cooling solution","Innovative","Private","California, USA ","","https://acclabplatforms.blob.core.windows.net/pads/media/image270.png,https://acclabplatforms.blob.core.windows.net/pads/media/image271.png"
"217","Bladeless Ceiling Fan","Bladeless ceiling fan uses less energy and the an ultraviolet light kills micro-organisms thorugh a LED lamp in the centre of the fan which provides light in different temperatures of white. Researchers at the Nanyang Technological University, Singapore (NTU Singapore) have developed a ceiling fan capable of cooling a small room at twice the speed of a conventional fan, about 100 cubic meters per minute whilst using just over half the enery. The fan creates a controlled vortex by mimicking the motion of a natural tornado, generating a breeze that you can never feel with a traditional ceiling fan. It is eco-friendly, efficient, quiet, and safe.","https://www.springwise.com/innovation-snapshot/six-innovations-to-beat-the-heat","9, 11","Designing a bladeless ceiling fan, Fast cooling fan, Saving energy, Usage of the natural air flow for cooling, Innovative cooling technology","Innovative","Private","Singapore","Vortec Pte Ltd.","https://acclabplatforms.blob.core.windows.net/pads/media/image272.png"
"218","Cooling Paper","A Boston Professor Yi Zheng created an invention that reflects the heat off the rooftops and even sucks the heat out of homes and buildings-and it is 100% recyclable. Yi Zhing created the 'Cooling Paper' so that a building or home could essentially keep cool on its own, with no electricity required. The paper can cool down a room´s temperature by using as much as 10 degrees Fahreinheit. Zheng's invention works through the porous microstructure of the natural fibers inside cooling paper which absorbs warmth and re-emits it way from the building. The cooling paper is part of Zheng's nanomaterials studies. The heat comes out through the building as infrared radiation and is taken up by the cooling paper, where it is emitted at wavelengths not absorbed by the atmosphere.","https://coe.northeastern.edu/news/startup-developed-from-cooling-paper-research/","9, 11","Cooling paper research, Using Recycled Paper to Cool the Air, No use of air conditioner, Innovative cooling solution","Innovative","Private","Boston, USA ","","https://acclabplatforms.blob.core.windows.net/pads/media/image273.png,https://acclabplatforms.blob.core.windows.net/pads/media/image274.png"
"219","The Climate Ribbon","The Climate Ribbon designed by architect Hugh Dutton from Miami reflects solar gain, cools the centre by channeling breeze from Biscayne Bay, collects rain water and serves as a unitizing architectural feature for the centre-its art and sustainability is perfect harmony. The Climate Ribbon at Brickell City Centre in Miami creates natural cooling to relieve the scorching Florida heat for shoppers.
","https://www.hda-paris.com/project/climate-ribbon-tm-miami-usa/#:~:text=The%20%E2%80%9CClimate%20RibbonTM%E2%80%9D%20is%20an,the%20bridges%20over%20public%20roads.","9, 11","Innovative material, Sun-screening blades, Architectural cooling solution, Passive energy strategy","Innovative","Private organization","Miami, USA","Arquitectonica","https://acclabplatforms.blob.core.windows.net/pads/media/image275.png"
"220","Eco-Friendly Lagoon","The Eco-friendly Lagoon was created by Crystal Lagoons in South Florida. The seven-acre lagoon uses 50% less water than that needed by a park of the same size, 100 times less chemicals than swimming pools and 50 times less energy than conventional filtration systems. Applying safe additives and different ultrasonic waves in the water, which causes the contaminating particles to agglomerate into larger particles later removed from the lagoon.","https://www.crystal-lagoons.com/forbes-applauds-crystal-lagoons-amenities-innovation-combat-hot-cities/","9, 13","Eco-friendly-lagoon technique, Combat the impact of climate change, Sustainable technology","Innovative","Private organization","Florida, USA ","Crystal Lagoons","https://acclabplatforms.blob.core.windows.net/pads/media/image276.jpeg"
"221","Hydro Place","The Hydro Place was designed by KPMB architects and features 78-foot indoor waterfalls that humidify and dehumidify incoming air. They cool the building in warmer seasons and reduce energy consumption by 77%. The waterfalls are designed with strands of mylar held at the bottom by bronze weights, and small valves at the top of each strand control the water flow. 100% fresh air into the offices is first drawn into the 6-storey south atrium. There it is preconditioned by a water feature (tensioned stainless steel cables with conditioned water running down each strand) before being drawn into the office’s raised floors. This feature humidifies the ambient fresh air in winter and dehumidifies air in summer.","https://www.kpmb.com/project/manitoba-hydro-place/","9, 11, 13","Designing hydro-place, Architectural cooling solution, Passive energy strategy, Energy reduction","Innovative","Private organization","Manitoba, Canada ","KPMB","https://acclabplatforms.blob.core.windows.net/pads/media/image277.png"
"222","Transparent Radiative Cooler","Scientists at the University of Notre Dame are developing a clear coating that lowers temperaturess without expending a single watt. It allows visible light, while reflecting warm infrared and ultraviolet rays into outer space. Coating consists of common materials like silicon dioxide, silicon nitride, aluminium oxide or titanium dioxide. Alternating layers are placed on a glass base and topped with a film of spreadable oil called polydimethylsiloxane. Artificial intelligence was used with computer models to calculate the type, order and combination.","https://studyfinds.org/window-coating-cools-buildings/","9, 11","Designing transparent radiative cooler, Passive energy strategy, Energy reduction, With coating cooling the buildings","Innovative","Academy"," Fremantle, Australia; Indiana, USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image278.png"
"223","Multilayered Radiative Cooling Film","Designed by Raman and Shanhui Fan. A thin but multilayered film that takes advantage of the way Earth's atmosphere allows heat to escape into space. Their film consista of alternating layers of silica-glass-and hafnium dioxide, a compound used in the optics industry to coat lenses and mirriors. The film conducts heat away from the sun if covering a car.","https://www.nationalgeographic.com/environment/article/this-new-technology-could-help-cool-people-down-without-electricity","9, 11, 13","Innovating radiative material, Reflecting infrared waves, Passive cooling, Energy efficiency, Radiative cooling","Innovative","Academy","California, USA ","UCLA","https://acclabplatforms.blob.core.windows.net/pads/media/image279.png"
"224","Bi-Layered, Aesthetic and Effective Film","This Innovative material uses passive daytime radiative cooling, which means that it emits its heat into space without being absorbed by the air or atmosphere. The result is a surface that can be several degrees cooler that the air around it without using any electrical power. The researchers layered colorful cellulose nanocrystals (CNCs) with a white-coloured material made from ethyl cellulose, creating a bi-layered film that was both robust and effective. When placed under sunlight the films were an average of nearly 40 degrees Fahrenheits cooler than surrounding ambient air.  Generates 120 Watts of cooling power, rivaling many types of residential air conditioners.
","https://interestingengineering.com/innovation/rainbow-films-eco-friendly-option-ac-units-cool-house-car","7, 9, 11","Innovating material, Reflecting infrared waves, Passive cooling, Energy efficiency, Radiative cooling"," Infrastructural","Academy"," Cambridge, USA","Cambridge University","https://acclabplatforms.blob.core.windows.net/pads/media/image280.png"
"225","Innovative MIT Passive Cooling System","The system combines radiative cooling, evaporative cooling and thermal insulation in a slim package that could resemble existing solar panels. It can provide up to about 19 degrees celcius of cooling from the ambient temperature. Three layers of material make up the system, which collectively provide cooling as water and heat pass through the device.This material consists mostly of air enclosed in the cavities of a sponge-like-structure made of polyethylene","https://scitechdaily.com/innovative-mit-passive-cooling-system-works-without-electricity","9, 11, 13","Passive cooling system, Radiative and evaporative cooling, Energy efficiency, Clima neutralisation","Technological","Private organization"," Cambridge, USA","Massachusetts Institute of Technology","https://acclabplatforms.blob.core.windows.net/pads/media/image281.png"
"226","Smart Anti-Heat Coating for Buildings","Professor Dai Jian-Guo, at PolyU and his research team, invented a method to make advanced coating materials for smart sub-ambient radiative cooling (ssrc) to cool buildings off while consuming zero electricity. The coating called 'UmiCool' is a multifunctional aqueous polymer, coating that can be painted on the exterior surface of buildings and infrastructure. It works by scattering sunlight, converting absorbed UV light to fluorescence emissions and re-emitting infrared radiation to outerspace.","https://www.polyu.edu.hk/publications/excelximpact/issue/202204/knowledge-transfer-entrepreneurship/smart-anti-heat-coating-a-novel-way-to-keep-buildings-cool#:~:text=Professor%20Dai%20Jian%2DGuo%2C%20Associate,off%20while%20consuming%20zero%20electricity.","9, 11, 13","Innovating aqueous polymers, Radiative and evaporative cooling, Energy efficiency, Clima neutralisation","Technological","Academy","Thailand; Hongkong","PolyU","https://acclabplatforms.blob.core.windows.net/pads/media/image282.png"
"227","Launching a Heat Mitigation Program","University of Carlifonia created a programme that provide AC for households that need it and launched a program that mitigated heat. The program tracks the effectiveness of interventions by monitoring trends in heat stress and illness, along with improvements to peoples health, comfort, productivity and learning.","https://newsroom.ucla.edu/releases/helping-los-angeles-respond-rising-heat","3, 9, 11","Heat mitigation, Heat mapping, Creating strategies to cope with the heat","Innovative","Academy","USA","University of California","https://acclabplatforms.blob.core.windows.net/pads/media/image283.png"
"228","Novel Refrigerants and Innovative Energy Storage System","An innovative refrigeration system incoporating phase change material (PCM) is proposed to mantain refrigerated trucks at a desired thermal condition. The advantage of using PCM to mantain low temperatures is that a conventional refrigeration system does not have to be located on-board the vehicle. In addition, the system consumes less energy and produces much lower local greenhouse gas (GHG) emissions.","https://pwr.edu.pl/en/university/news/a-unique-cooling-system-based-on-green-solutions-to-be-developed-at-wroclaw-tech-10536.html","9, 13","Energy storage system, Energy efficiency, Using thermal and electrical energy storage technologies, Sustainable AC","Technological","Private organization","USA","","https://acclabplatforms.blob.core.windows.net/pads/media/image284.png"
"229","ThermoTerra","The Thermoterra was founded by CEO Dror Zchori from Israel. It is an energy system that harvests energy from fluctuations in humididty. Water vapor in the air that is absorbed onto or into an absorptive material transfers a significant amount of energy. When water evaporates it causes a cooling effect.","https://www.thebrighterside.news/post/israeli-start-up-can-heat-and-cool-your-house-using-the-power-of-humidity","7, 9","Energy conservation, Renewable energy system, Harvesting energy from fluctuations in humidity","Technological","Private organization","Israel","Thermoterra","https://acclabplatforms.blob.core.windows.net/pads/media/image285.png,https://acclabplatforms.blob.core.windows.net/pads/media/image286.png"
"230","Air Cooler Made from Plastic Bottles","The Bangladesh Eco-cooler designed and developed by Ashis Paul uses thermodynamics Principle called Joule-Thomson effect. The simple air coolers are constructed using affordable, used plastic bottless. As hot air rushes into each plastic bottle, it is pushed to the rim where it begins expanding. This expansion then leads to the cooling in the air as it enters the target room. As air enters the plastic bottle wide part it comes out of the bottleneck with higher pressure and as it quickly disperses into the room its temperature drops.","https://inhabitat.com/this-amazing-bangladeshi-air-cooler-is-made-from-plastic-bottles-and-uses-no-electricity/","9, 13","Eco-Cooler, DIY cooling system, Save energy, Passive cooling","Innovative","NGO","Bangladesh","","https://acclabplatforms.blob.core.windows.net/pads/media/image287.png,https://acclabplatforms.blob.core.windows.net/pads/media/image288.png"
"231","Envelopes","High-performing envelopes (the parts of a building that separate the indoors from the outdoors, including exterior walls, foundations, roof, windows, etc.) are the most effective way to reduce the thermal needs of buildings. Compared to other solutions, the selection of envelope structure and materials is particularly important given the long lifetime of buildings and the cost of construction. High-perfomance enevelopes can reduce demand by 30% to 50%.","https://www.iea.org/energy-system/buildings/building-envelopes","9","Creating high performance envelopes, Building energy efficiency, Sustainable cooling solution","Innovative","Private organization","UK; Australia","","https://acclabplatforms.blob.core.windows.net/pads/media/image289.png,https://acclabplatforms.blob.core.windows.net/pads/media/image290.png"
"232","Low-Emissivity Glass","Low-emmissivity glass reflects infrared solar radiation without affecting the entry of visible light and reduces cooling demand by at least 20% compared to conventional glass.","https://www.pnas.org/doi/abs/10.1073/pnas.2300856120","9","Low-Emissivity glass, Energy savings, Coatings that exhibit low emissivity, Passive cooling","Innovative","Private organization","Egypt","","https://acclabplatforms.blob.core.windows.net/pads/media/image291.png"
"233","Cooling Strategies and NDC Targets","Intergrating building design into cooling strategies and NDC targets can make a good policy.","https://climate-adapt.eea.europa.eu/en/metadata/publications/better-design-for-cool-buildings-how-improved-building-design-can-reduce-the-massive-need-for-space-cooling-in-hot-climates","13","Climate action plan, Cooling activities, Saving energy, Cooling strategies, NDC targets","Innovative","Local Government","China; Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image292.png"
"234","Ambitious Building Codes","To cool a city, there is need to adopt and enforce ambitious building codes for new buildings and renovations. Energy savings is through building energy codes programs. These programs are proven mechanisms for improving the efficiency of buildings around the world, impacting new
construction as well as major renovations.","https://www.nccs.gov.sg/singapores-climate-action/mitigation-efforts/buildings/","9, 11, 13","Building energy codes, Improving building energy performance, Avoiding GHGs","Innovative","Local Government","China; India; Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image293.png"
"235","Capacity-Building","Financial incentives, information campaigns and capacity buildings can promote energy-efficiency building design.","https://www.thegef.org/sites/default/files/publications/EEBuilding_WEB_2.pdf","11","Proving financial incentives, Energy efficiency in buildings, Saving energy, Reducing GHG","Behavioural","Local Government","Germany; China; Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image294.png,https://acclabplatforms.blob.core.windows.net/pads/media/image295.png"
"236","Perfomance Standards","Developing minimum energy perfomance standards and labelling for appliances can assist in cooling a city.","https://publica.fraunhofer.de/entities/publication/be801e16-b2ca-4292-bca2-aa4a36627dc6/details","11, 13","Developing Minimum Energy Perfomance, Energy labels, Climate policy, Saving energy strategies","Behavioural","Local Government","Europe; China","Minimum Energy Performance Standards (MEPS)
https://www.iea.org/policies/333-minimum-energy-performance-standards-meps","https://acclabplatforms.blob.core.windows.net/pads/media/image296.png"
